id,agent,Decision,html_url,Comment
3077057256,Copilot,Unknown,https://github.com/hyperlight-dev/hyperlight/pull/513,
3112029851,Copilot,Unknown,https://github.com/dotnet/aspire/pull/9653,
3203756006,OpenAI_Codex,Agentic Failure,https://github.com/robinkarlberg/transfer.zip-web/pull/34,"Incredibly bad commit, doesn't even work."
2904472759,Devin,Unknown,https://github.com/whitphx/stlite/pull/1396,
3200433499,Copilot,Unknown,https://github.com/microsoft/ebpf-for-windows/pull/4495,
3093421796,Copilot,Agentic Failure,https://github.com/dotnet/msbuild/pull/11912,I wanted the change inside that PR 👎
3069101459,Devin,Non-Agentic Failure,https://github.com/calcom/cal.com/pull/21358,continued at #21380
3086912526,OpenAI_Codex,Unknown,https://github.com/Skyvern-AI/skyvern/pull/2441,
3119417188,OpenAI_Codex,Non-Agentic Failure,https://github.com/oven-sh/bun/pull/20193,PR #20356
3134945953,OpenAI_Codex,Non-Agentic Failure,https://github.com/joamag/boytacean/pull/24,Closing as duplicate of #26
3137788023,OpenAI_Codex,Agentic Failure,https://github.com/wandb/weave/pull/4719,Failing tests
3245071690,OpenAI_Codex,Unknown,https://github.com/wieslawsoltes/Dock/pull/715,
3085430966,Copilot,Unknown,https://github.com/Azure/azure-sdk-for-go/pull/24678,
3070964243,OpenAI_Codex,Agentic Failure,https://github.com/OpenHFT/Chronicle-Core/pull/701,Failing tests
2895840786,Devin,Non-Agentic Failure,https://github.com/airbytehq/airbyte/pull/55201,due to inactivity
2757124156,Devin,Non-Agentic Failure,https://github.com/appsmithorg/appsmith/pull/38335,due to inactivity
3075375258,Cursor,Unknown,https://github.com/volcengine/verl/pull/1594,
3225248824,OpenAI_Codex,Unknown,https://github.com/wieslawsoltes/Dock/pull/658,
3142458595,OpenAI_Codex,Unknown,https://github.com/gensx-inc/gensx/pull/768,
3095074851,OpenAI_Codex,Agentic Failure,https://github.com/writer/writer-framework/pull/886,due to inactivity
3158099802,Devin,Non-Agentic Failure,https://github.com/AgentOps-AI/agentops/pull/1088,"Closing this PR to create a comprehensive solution that addresses debug logs across all instrumentation modules, not just Google ADK."
3246352490,Devin,Non-Agentic Failure,https://github.com/langbot-app/LangBot/pull/1585,due to inactivity
3173180612,Copilot,Agentic Failure,https://github.com/Azure/azure-sdk-for-net/pull/50839,Failing tests
2899428182,Devin,Unknown,https://github.com/OneKeyHQ/app-monorepo/pull/6826,
2888185420,Claude_Code,Non-Agentic Failure,https://github.com/SoftFever/OrcaSlicer/pull/8624,I intended to open a PR for my own fork.
3022935755,Devin,Agentic Failure,https://github.com/risingwavelabs/risingwave/pull/21589,Failing tests
3125360396,OpenAI_Codex,Agentic Failure,https://github.com/leoafarias/fvm/pull/855,Failing tests
3102274919,OpenAI_Codex,Unknown,https://github.com/gridaco/grida/pull/361,
3115492283,Devin,Non-Agentic Failure,https://github.com/crewAIInc/crewAI/pull/2949,Closing due to inactivity
3169102437,Copilot,Non-Agentic Failure,https://github.com/andrewlock/NetEscapades.EnumGenerators/pull/156,Superseded by #159
3230603903,Copilot,Agentic Failure,https://github.com/microsoft/openvmm/pull/1698,Failing tests
3037616016,Devin,Non-Agentic Failure,https://github.com/GlareDB/glaredb/pull/3765,"My bad, forgot this was implemented. We don't need bespoke docs for this."
2878399010,Devin,Non-Agentic Failure,https://github.com/crewAIInc/crewAI/pull/2221,Closing due to inactivity.
3134478540,Copilot,Agentic Failure,https://github.com/dotnet/diagnostics/pull/5499,We need to come up with a different fix. Closing.
3071706456,OpenAI_Codex,Unknown,https://github.com/lunary-ai/lunary/pull/969,404
3118854425,Devin,Unknown,https://github.com/Mooncake-Labs/pg_mooncake/pull/152,
3263291835,Devin,Agentic Failure,https://github.com/567-labs/instructor/pull/1747,Failing tests
3221900086,Devin,Non-Agentic Failure,https://github.com/crewAIInc/crewAI-tools/pull/373,due to inactivity
2866881273,Devin,Non-Agentic Failure,https://github.com/box/box-ui-elements/pull/3941,due to inactivity
3070073796,OpenAI_Codex,Agentic Failure,https://github.com/commaai/panda/pull/2199,Failing tests
3245069979,OpenAI_Codex,Agentic Failure,https://github.com/wieslawsoltes/Dock/pull/709,Failing tests
3162485837,Copilot,Unknown,https://github.com/dotnet/dotnet-api-docs/pull/11493,
3070964333,OpenAI_Codex,Agentic Failure,https://github.com/OpenHFT/Chronicle-Core/pull/702,Failing tests
3143758141,OpenAI_Codex,Non-Agentic Failure,https://github.com/gofiber/fiber/pull/3518,#3604
3201769355,Copilot,Non-Agentic Failure,https://github.com/babalae/better-genshin-impact/pull/1831,copilot 你真棒，不采纳，但狠狠的抄了
2841184790,Devin,Agentic Failure,https://github.com/onlook-dev/onlook/pull/1317,Failing tests
3169753530,OpenAI_Codex,Unknown,https://github.com/onlook-dev/onlook/pull/2269,
2859359419,Devin,Unknown,https://github.com/onlook-dev/onlook/pull/1424,
2893208755,Devin,Unknown,https://github.com/OneKeyHQ/app-monorepo/pull/6787,
3106238975,Devin,Non-Agentic Failure,https://github.com/ComposioHQ/composio/pull/1605,due to inactivity
3240836795,Devin,Non-Agentic Failure,https://github.com/airbytehq/airbyte/pull/63363,due to inactivity
2819751239,Devin,Unknown,https://github.com/onlook-dev/onlook/pull/1172,
3245082884,OpenAI_Codex,Unknown,https://github.com/wieslawsoltes/Dock/pull/725,
3034517667,Devin,Non-Agentic Failure,https://github.com/schemahero/schemahero/pull/1170,due to inactivity
3154330497,OpenAI_Codex,Agentic Failure,https://github.com/openai/openai-agents-js/pull/114,Failing tests
